timestamp,open,high,low,close,volume
2026-07-25 18:00:00,5.055,5.065,5.046,5.063,1306.6
2026-07-25 18:15:00,5.061,5.068,5.046,5.064,6663.1
2026-07-25 18:30:00,5.064,5.073,5.064,5.071,168023.3
2026-07-25 18:45:00,5.071,5.072,5.055,5.055,1439150.4
2026-07-25 19:00:00,5.055,5.061,5.028,5.057,4415429.1
2026-07-25 19:15:00,5.057,5.064,5.047,5.063,515139.2
2026-07-25 19:30:00,5.063,5.068,5.058,5.06,739839.8
2026-07-25 19:45:00,5.06,5.065,5.046,5.046,955319.3
2026-07-25 20:00:00,5.046,5.05,5.035,5.047,199524.3
2026-07-25 20:15:00,5.047,5.05,5.042,5.046,229873.7
2026-07-25 20:30:00,5.046,5.06,5.046,5.06,472382.1
2026-07-25 20:45:00,5.059,5.06,5.037,5.04,1718198.2
2026-07-25 21:00:00,5.04,5.041,5.029,5.029,1604414.5
