timestamp,open,high,low,close,volume
2026-07-25 21:11:00,568.88,568.89,568.87,568.89,7.23
2026-07-25 21:12:00,568.88,568.89,568.87,568.89,6.76
2026-07-25 21:13:00,568.89,568.89,568.69,568.74,36504.4
2026-07-25 21:14:00,568.75,568.92,568.69,568.92,9.44
2026-07-25 21:15:00,568.92,569.09,568.69,569.09,104953.01
2026-07-25 21:16:00,569.09,569.1,569.08,569.08,9253.26
2026-07-25 21:17:00,569.08,569.08,569.08,569.08,56.75
2026-07-25 21:18:00,569.08,569.08,568.95,568.98,54671.98
2026-07-25 21:19:00,568.98,569.04,568.97,568.98,6.5
2026-07-25 21:20:00,568.97,568.97,568.92,568.94,16224.19
2026-07-25 21:21:00,568.94,568.95,568.94,568.94,5.6
2026-07-25 21:22:00,568.94,568.95,568.92,568.95,112.65
2026-07-25 21:23:00,568.94,568.95,568.94,568.94,4.48
2026-07-25 21:24:00,568.94,568.95,568.91,568.92,7656.43
2026-07-25 21:25:00,568.92,568.95,568.91,568.95,8.01
2026-07-25 21:26:00,568.95,569.02,568.91,569.02,7.5
2026-07-25 21:27:00,569.02,569.13,569.01,569.13,33061.95
2026-07-25 21:28:00,569.13,569.2,569.12,569.2,15277.59
