timestamp,open,high,low,close,volume
2026-07-25 21:11:00,8.373,8.373,8.37,8.371,151868.67
2026-07-25 21:12:00,8.371,8.371,8.37,8.37,356.31
2026-07-25 21:13:00,8.37,8.371,8.366,8.369,48708.5
2026-07-25 21:14:00,8.368,8.369,8.366,8.366,6071.71
2026-07-25 21:15:00,8.366,8.368,8.366,8.366,67.97
2026-07-25 21:16:00,8.366,8.368,8.366,8.366,7131.73
2026-07-25 21:17:00,8.366,8.366,8.365,8.365,24240.42
2026-07-25 21:18:00,8.365,8.365,8.362,8.364,101019.13
2026-07-25 21:19:00,8.364,8.365,8.361,8.364,118.96
2026-07-25 21:20:00,8.364,8.364,8.361,8.362,690.47
2026-07-25 21:21:00,8.362,8.363,8.36,8.36,49743.0
2026-07-25 21:22:00,8.36,8.36,8.358,8.358,14482.92
2026-07-25 21:23:00,8.358,8.359,8.358,8.358,96.44
2026-07-25 21:24:00,8.358,8.359,8.358,8.359,38356.15
2026-07-25 21:25:00,8.359,8.359,8.358,8.358,52.51
2026-07-25 21:26:00,8.359,8.359,8.358,8.359,73058.99
2026-07-25 21:27:00,8.359,8.36,8.359,8.359,68898.11
2026-07-25 21:28:00,8.359,8.36,8.359,8.36,85.3
