timestamp,open,high,low,close,volume
2026-07-25 21:11:00,91.26,91.26,91.24,91.24,2360.4
2026-07-25 21:12:00,91.24,91.26,91.23,91.26,7126.0
2026-07-25 21:13:00,91.26,91.32,91.24,91.31,31203.8
2026-07-25 21:14:00,91.31,91.32,91.29,91.3,63.4
2026-07-25 21:15:00,91.3,91.34,91.29,91.32,734.9
2026-07-25 21:16:00,91.32,91.34,91.31,91.31,59.8
2026-07-25 21:17:00,91.34,91.34,91.3,91.31,66.0
2026-07-25 21:18:00,91.31,91.31,91.27,91.27,74.6
2026-07-25 21:19:00,91.27,91.28,91.27,91.27,58.3
2026-07-25 21:20:00,91.27,91.34,91.25,91.25,73.6
2026-07-25 21:21:00,91.25,91.25,91.23,91.23,79.1
2026-07-25 21:22:00,91.23,91.28,91.23,91.26,53.7
2026-07-25 21:23:00,91.26,91.34,91.25,91.25,69.6
2026-07-25 21:24:00,91.25,91.3,91.24,91.3,64.9
2026-07-25 21:25:00,91.3,91.34,91.29,91.29,55.1
2026-07-25 21:26:00,91.29,91.37,91.29,91.36,281.7
2026-07-25 21:27:00,91.36,91.37,91.32,91.37,2197.2
2026-07-25 21:28:00,91.37,91.41,91.37,91.41,9174.1
