timestamp,open,high,low,close,volume
2026-07-25 21:11:00,6.762,6.781,6.76,6.76,1685.0
2026-07-25 21:12:00,6.76,6.773,6.76,6.77,519.0
2026-07-25 21:13:00,6.77,6.781,6.77,6.775,681.0
2026-07-25 21:14:00,6.771,6.777,6.765,6.769,659.0
2026-07-25 21:15:00,6.769,6.781,6.767,6.771,1062.0
2026-07-25 21:16:00,6.771,6.782,6.771,6.778,79502.0
2026-07-25 21:17:00,6.779,6.783,6.778,6.782,13194.0
2026-07-25 21:18:00,6.781,6.781,6.774,6.78,943.0
2026-07-25 21:19:00,6.78,6.783,6.779,6.783,4164.0
2026-07-25 21:20:00,6.783,6.786,6.782,6.786,112667.0
2026-07-25 21:21:00,6.786,6.786,6.777,6.777,3857.0
2026-07-25 21:22:00,6.777,6.786,6.774,6.774,1615.0
2026-07-25 21:23:00,6.774,6.774,6.768,6.768,1321.0
2026-07-25 21:24:00,6.768,6.786,6.768,6.771,5037.0
2026-07-25 21:25:00,6.77,6.775,6.767,6.767,687.0
2026-07-25 21:26:00,6.767,6.786,6.757,6.757,943.0
2026-07-25 21:27:00,6.757,6.786,6.749,6.75,1591.0
2026-07-25 21:28:00,6.75,6.751,6.748,6.748,1072.0
