timestamp,open,high,low,close,volume
2026-07-25 18:00:00,6.764,6.768,6.731,6.762,436.39
2026-07-25 18:15:00,6.775,6.81,6.775,6.8,1203365.93
2026-07-25 18:30:00,6.8,6.811,6.785,6.794,1332.16
2026-07-25 18:45:00,6.794,6.824,6.785,6.818,2019.03
2026-07-25 19:00:00,6.818,6.818,6.773,6.776,321156.22
2026-07-25 19:15:00,6.776,6.799,6.775,6.799,1499.97
2026-07-25 19:30:00,6.799,6.799,6.765,6.788,1311427.14
2026-07-25 19:45:00,6.788,6.792,6.782,6.785,851560.95
2026-07-25 20:00:00,6.785,6.805,6.77,6.773,350851.37
2026-07-25 20:15:00,6.773,6.775,6.741,6.742,286269.9
2026-07-25 20:30:00,6.742,6.749,6.728,6.73,1937855.4
2026-07-25 20:45:00,6.73,6.73,6.718,6.726,329029.72
2026-07-25 21:00:00,6.726,6.748,6.718,6.748,1007.08
