timestamp,open,high,low,close,volume
2026-07-25 21:11:00,3.673,3.673,3.672,3.672,3848.0
2026-07-25 21:12:00,3.672,3.673,3.672,3.673,536.0
2026-07-25 21:13:00,3.673,3.673,3.672,3.673,635.0
2026-07-25 21:14:00,3.673,3.674,3.673,3.674,658.0
2026-07-25 21:15:00,3.674,3.675,3.674,3.675,838.0
2026-07-25 21:16:00,3.675,3.676,3.675,3.676,766.0
2026-07-25 21:17:00,3.676,3.676,3.675,3.675,498.0
2026-07-25 21:18:00,3.675,3.675,3.672,3.672,37562.0
2026-07-25 21:19:00,3.673,3.675,3.673,3.674,34549.0
2026-07-25 21:20:00,3.674,3.675,3.674,3.675,24680.0
2026-07-25 21:21:00,3.675,3.675,3.674,3.674,613.0
2026-07-25 21:22:00,3.674,3.675,3.674,3.674,1017.0
2026-07-25 21:23:00,3.674,3.675,3.674,3.675,559.0
2026-07-25 21:24:00,3.675,3.675,3.674,3.675,76528.0
2026-07-25 21:25:00,3.675,3.675,3.675,3.675,102661.0
2026-07-25 21:26:00,3.675,3.677,3.674,3.677,207731.0
2026-07-25 21:27:00,3.677,3.678,3.677,3.678,240680.0
2026-07-25 21:28:00,3.678,3.682,3.678,3.682,283492.0
