timestamp,open,high,low,close,volume
2026-07-25 21:11:00,1.458,1.459,1.458,1.459,368.6
2026-07-25 21:12:00,1.459,1.459,1.458,1.458,368.2
2026-07-25 21:13:00,1.459,1.46,1.459,1.46,339.9
2026-07-25 21:14:00,1.46,1.46,1.459,1.459,375.1
2026-07-25 21:15:00,1.459,1.459,1.459,1.459,368.8
2026-07-25 21:16:00,1.459,1.459,1.459,1.459,455.9
2026-07-25 21:17:00,1.459,1.459,1.459,1.459,565.8
2026-07-25 21:18:00,1.459,1.459,1.458,1.458,509.3
2026-07-25 21:19:00,1.458,1.458,1.458,1.458,455.3
2026-07-25 21:20:00,1.458,1.458,1.458,1.458,352.4
2026-07-25 21:21:00,1.458,1.458,1.458,1.458,444.2
2026-07-25 21:22:00,1.458,1.458,1.458,1.458,460.1
2026-07-25 21:23:00,1.458,1.458,1.458,1.458,394.0
2026-07-25 21:24:00,1.458,1.458,1.457,1.457,58800.7
2026-07-25 21:25:00,1.457,1.457,1.456,1.457,16859.0
2026-07-25 21:26:00,1.457,1.457,1.456,1.456,358.5
2026-07-25 21:27:00,1.456,1.457,1.456,1.456,357.9
2026-07-25 21:28:00,1.456,1.457,1.456,1.456,401.6
